customer_id,event_count,loyalty_tier
C00001,5,Bronze
C00002,1,Silver
C00003,2,Bronze
C00004,2,Bronze
C00005,6,Bronze
C00006,5,Silver
C00007,5,Bronze
C00008,1,Gold
C00009,4,Bronze
C00010,4,Bronze
C00011,5,Gold
C00012,5,Bronze
C00013,4,Silver
C00014,7,Bronze
C00015,3,Silver
C00016,3,Silver
C00017,12,Bronze
C00018,1,Gold
C00019,6,Bronze
C00020,8,Bronze
C00021,6,Silver
C00022,3,Gold
C00023,8,Silver
C00024,5,Bronze
C00025,7,Bronze
C00026,8,Bronze
C00027,5,Bronze
C00028,4,Silver
C00029,6,Gold
C00030,3,Silver
C00031,4,Silver
C00032,7,Bronze
C00033,7,Bronze
C00034,4,Silver
C00035,7,Gold
C00036,3,Bronze
C00037,5,Bronze
C00038,7,Silver
C00039,6,Silver
C00040,1,Silver
C00041,4,Bronze
C00042,4,Silver
C00043,10,Bronze
C00044,9,Bronze
C00045,4,Bronze
C00046,7,Bronze
C00047,4,Bronze
C00048,13,Silver
C00049,3,Bronze
C00050,6,Bronze
C00051,7,Silver
C00052,4,Gold
C00053,9,Bronze
C00054,7,Gold
C00055,3,Silver
C00056,7,Bronze
C00057,9,Gold
C00058,3,Bronze
C00059,3,Silver
C00060,3,Bronze
C00061,3,Bronze
C00062,2,Bronze
C00063,5,Bronze
C00064,5,Bronze
C00065,1,Gold
C00066,3,Silver
C00067,5,Bronze
C00068,6,Bronze
C00069,3,Bronze
C00070,2,Silver
C00071,6,Silver
C00072,3,Bronze
C00073,3,Bronze
C00074,3,Silver
C00075,7,Silver
C00076,6,Bronze
C00077,4,Bronze
C00078,4,Bronze
C00079,2,Silver
C00080,3,Bronze
C00081,7,Bronze
C00082,5,Gold
C00083,3,Silver
C00084,2,Silver
C00085,5,Bronze
C00086,3,Bronze
C00087,3,Silver
C00088,9,Bronze
C00089,6,Bronze
C00090,5,Bronze
C00091,4,Bronze
C00092,7,Bronze
C00093,7,Bronze
C00094,7,Bronze
C00095,4,Bronze
C00096,5,Silver
C00097,2,Bronze
C00098,2,Silver
C00099,3,Gold
C00100,3,Silver
C00101,6,Silver
C00102,3,Silver
C00103,5,Silver
C00104,2,Silver
C00105,6,Silver
C00106,8,Silver
C00107,6,Bronze
C00109,2,Silver
C00110,7,Bronze
C00111,5,Gold
C00112,4,Silver
C00113,11,Bronze
C00114,7,Bronze
C00115,4,Bronze
C00116,6,Silver
C00117,10,Silver
C00118,10,Silver
C00119,8,Bronze
C00120,3,Silver
C00121,4,Bronze
C00122,5,Bronze
C00123,5,Bronze
C00124,8,Bronze
C00125,4,Bronze
C00126,2,Silver
C00127,7,Gold
C00128,6,Silver
C00129,5,Bronze
C00130,5,Silver
C00131,3,Gold
C00132,4,Bronze
C00133,2,Bronze
C00134,5,Silver
C00135,6,Bronze
C00136,10,Silver
C00137,5,Bronze
C00138,3,Gold
C00139,3,Bronze
C00140,8,Gold
C00141,5,Bronze
C00142,6,Silver
C00143,4,Bronze
C00144,5,Bronze
C00145,12,Bronze
C00146,4,Silver
C00147,4,Silver
C00148,1,Gold
C00149,7,Silver
C00150,6,Bronze
C00151,6,Bronze
C00152,6,Bronze
C00153,2,Bronze
C00154,2,Silver
C00155,3,Bronze
C00156,3,Bronze
C00157,3,Bronze
C00158,8,Bronze
C00159,3,Silver
C00160,2,Silver
C00161,4,Bronze
C00162,5,Bronze
C00163,2,Silver
C00164,3,Bronze
C00165,6,Gold
C00166,5,Silver
C00167,5,Bronze
C00168,3,Bronze
C00169,6,Gold
C00170,6,Silver
C00171,6,Gold
C00172,8,Gold
C00173,6,Silver
C00174,5,Bronze
C00175,4,Gold
C00176,6,Bronze
C00177,3,Gold
C00178,1,Bronze
C00179,6,Bronze
C00180,6,Bronze
C00181,7,Bronze
C00183,2,Bronze
C00184,4,Silver
C00185,5,Silver
C00186,5,Bronze
C00187,8,Gold
C00188,8,Bronze
C00189,7,Bronze
C00190,8,Gold
C00191,11,Bronze
C00192,5,Bronze
C00193,4,Silver
C00194,8,Silver
C00195,4,Silver
C00196,7,Gold
C00197,8,Bronze
C00198,7,Silver
C00199,3,Bronze
C00200,8,Bronze
C00201,3,Bronze
C00202,6,Silver
C00203,6,Bronze
C00204,3,Bronze
C00205,8,Bronze
C00206,1,Bronze
C00207,2,Bronze
C00208,9,Bronze
C00209,2,Bronze
C00210,6,Bronze
C00211,5,Silver
C00212,3,Silver
C00213,9,Bronze
C00214,4,Bronze
C00215,1,Bronze
C00216,1,Silver
C00217,4,Bronze
C00218,11,Silver
C00219,4,Silver
C00220,2,Gold
C00221,6,Silver
C00222,7,Silver
C00223,5,Bronze
C00224,4,Bronze
C00225,4,Bronze
C00226,9,Silver
C00227,8,Silver
C00228,1,Bronze
C00229,5,Bronze
C00230,6,Bronze
C00231,5,Bronze
C00232,6,Silver
C00233,6,Bronze
C00234,3,Bronze
C00235,9,Gold
C00236,9,Silver
C00237,8,Silver
C00238,6,Silver
C00239,4,Bronze
C00240,3,Bronze
C00241,2,Bronze
C00242,3,Bronze
C00243,7,Gold
C00244,4,Bronze
C00245,5,Bronze
C00246,2,Bronze
C00247,5,Silver
C00248,9,Silver
C00249,3,Silver
C00250,4,Bronze
C00251,2,Bronze
C00252,4,Gold
C00253,8,Bronze
C00254,4,Silver
C00255,7,Gold
C00256,3,Bronze
C00257,5,Bronze
C00258,4,Gold
C00259,2,Silver
C00260,7,Bronze
C00261,7,Gold
C00262,2,Bronze
C00263,6,Silver
C00264,3,Silver
C00265,4,Bronze
C00266,4,Bronze
C00267,6,Bronze
C00268,4,Bronze
C00269,6,Silver
C00270,5,Gold
C00271,3,Silver
C00272,3,Bronze
C00273,14,Silver
C00274,5,Bronze
C00275,8,Silver
C00276,4,Bronze
C00277,4,Gold
C00278,8,Silver
C00279,3,Gold
C00280,8,Gold
C00281,7,Silver
C00282,5,Bronze
C00283,5,Bronze
C00284,2,Bronze
C00285,7,Gold
C00286,5,Bronze
C00287,8,Silver
C00288,5,Bronze
C00289,6,Gold
C00290,10,Bronze
C00291,1,Bronze
C00292,7,Bronze
C00293,6,Bronze
C00294,3,Silver
C00295,3,Bronze
C00296,3,Bronze
C00297,6,Bronze
C00298,5,Silver
C00299,6,Silver
C00300,6,Bronze
C00301,5,Silver
C00302,8,Bronze
C00303,9,Bronze
C00304,5,Silver
C00305,5,Gold
C00306,4,Silver
C00307,2,Bronze
C00308,2,Bronze
C00309,10,Silver
C00310,6,Bronze
C00311,5,Bronze
C00312,8,Silver
C00313,9,Bronze
C00314,5,Silver
C00315,6,Silver
C00316,5,Bronze
C00317,5,Bronze
C00318,7,Bronze
C00319,9,Bronze
C00320,4,Silver
C00321,5,Silver
C00322,7,Silver
C00323,5,Silver
C00324,4,Bronze
C00325,8,Bronze
C00326,5,Bronze
C00327,3,Silver
C00328,2,Silver
C00329,7,Bronze
C00330,4,Bronze
C00331,3,Bronze
C00332,6,Bronze
C00333,6,Silver
C00334,3,Silver
C00335,5,Silver
C00336,3,Bronze
C00337,4,Bronze
C00338,4,Gold
C00339,5,Silver
C00340,9,Bronze
C00341,3,Gold
C00342,3,Bronze
C00343,6,Silver
C00344,6,Gold
C00345,9,Silver
C00346,2,Silver
C00347,3,Silver
C00348,9,Silver
C00349,2,Bronze
C00350,7,Bronze
C00351,4,Bronze
C00352,7,Bronze
C00353,4,Gold
C00354,5,Gold
C00355,4,Bronze
C00356,5,Bronze
C00357,6,Silver
C00358,1,Gold
C00359,5,Bronze
C00360,3,Bronze
C00361,7,Gold
C00362,9,Bronze
C00363,3,Bronze
C00364,7,Bronze
C00365,4,Bronze
C00366,2,Gold
C00367,5,Bronze
C00368,5,Gold
C00369,6,Silver
C00370,6,Bronze
C00371,9,Silver
C00372,4,Silver
C00373,4,Gold
C00374,5,Bronze
C00375,3,Gold
C00376,5,Silver
C00377,5,Silver
C00378,5,Bronze
C00379,3,Silver
C00380,4,Bronze
C00381,4,Silver
C00382,3,Bronze
C00383,5,Silver
C00384,5,Silver
C00385,6,Bronze
C00386,5,Silver
C00387,4,Bronze
C00388,7,Gold
C00389,9,Silver
C00390,9,Silver
C00391,7,Bronze
C00392,2,Gold
C00393,6,Silver
C00394,4,Gold
C00395,6,Bronze
C00396,1,Silver
C00397,2,Gold
C00398,4,Silver
C00399,4,Silver
C00400,7,Gold
C00401,5,Bronze
C00402,6,Silver
C00403,1,Bronze
C00404,4,Bronze
C00405,5,Bronze
C00406,1,Bronze
C00407,3,Bronze
C00408,6,Bronze
C00409,3,Silver
C00410,1,Bronze
C00411,8,Bronze
C00412,3,Silver
C00413,2,Bronze
C00414,4,Bronze
C00415,9,Bronze
C00416,4,Bronze
C00417,7,Silver
C00418,6,Silver
C00419,3,Bronze
C00420,2,Silver
C00421,9,Bronze
C00422,4,Bronze
C00423,9,Silver
C00424,7,Bronze
C00425,8,Bronze
C00426,9,Bronze
C00427,10,Bronze
C00428,6,Gold
C00429,2,Gold
C00430,7,Silver
C00431,5,Gold
C00432,5,Bronze
C00433,8,Bronze
C00434,1,Silver
C00435,4,Silver
C00436,3,Silver
C00437,3,Silver
C00438,4,Bronze
C00439,5,Gold
C00440,8,Bronze
C00441,10,Bronze
C00442,8,Gold
C00443,5,Bronze
C00444,5,Gold
C00445,6,Bronze
C00446,2,Silver
C00447,6,Silver
C00448,6,Bronze
C00449,4,Silver
C00450,4,Silver
C00451,2,Silver
C00452,6,Bronze
C00453,4,Bronze
C00454,3,Bronze
C00455,2,Silver
C00456,6,Gold
C00457,7,Bronze
C00458,2,Silver
C00459,9,Silver
C00460,3,Silver
C00461,4,Silver
C00462,8,Bronze
C00463,5,Bronze
C00464,7,Silver
C00465,6,Bronze
C00466,5,Gold
C00467,3,Silver
C00468,6,Bronze
C00469,4,Bronze
C00470,4,Gold
C00471,7,Bronze
C00472,11,Bronze
C00473,9,Bronze
C00474,5,Silver
C00475,3,Silver
C00476,2,Bronze
C00477,5,Bronze
C00478,4,Silver
C00479,9,Bronze
C00480,6,Gold
C00481,5,Gold
C00482,6,Gold
C00483,5,Bronze
C00484,1,Bronze
C00485,3,Bronze
C00486,5,Silver
C00487,8,Bronze
C00488,6,Bronze
C00489,6,Bronze
C00490,12,Bronze
C00491,7,Silver
C00492,8,Bronze
C00493,3,Bronze
C00494,5,Silver
C00495,8,Bronze
C00496,6,Silver
C00497,4,Gold
C00498,8,Bronze
C00499,6,Bronze
C00500,3,Bronze
C00501,2,Bronze
C00502,4,Bronze
C00503,3,Bronze
C00504,10,Bronze
C00505,2,Bronze
C00506,3,Silver
C00507,2,Bronze
C00508,3,Bronze
C00509,6,Silver
C00510,6,Silver
C00511,4,Silver
C00512,4,Bronze
C00513,2,Bronze
C00514,8,Bronze
C00515,4,Silver
C00516,2,Bronze
C00517,3,Gold
C00518,8,Gold
C00519,5,Silver
C00520,5,Gold
C00521,3,Gold
C00522,5,Silver
C00523,2,Gold
C00524,5,Bronze
C00525,5,Silver
C00526,6,Silver
C00527,8,Bronze
C00528,3,Bronze
C00529,6,Gold
C00530,3,Bronze
C00531,3,Silver
C00532,6,Bronze
C00533,1,Bronze
C00534,5,Bronze
C00535,8,Silver
C00536,8,Silver
C00537,2,Silver
C00538,3,Bronze
C00539,6,Bronze
C00540,1,Silver
C00541,1,Bronze
C00542,7,Silver
C00543,8,Silver
C00544,4,Gold
C00545,7,Bronze
C00546,3,Bronze
C00547,4,Bronze
C00548,5,Silver
C00549,6,Silver
C00550,6,Bronze
C00551,8,Bronze
C00552,5,Bronze
C00553,4,Silver
C00554,6,Bronze
C00555,6,Silver
C00556,6,Gold
C00557,6,Bronze
C00558,3,Bronze
C00559,4,Gold
C00560,4,Gold
C00561,5,Bronze
C00562,4,Bronze
C00563,8,Silver
C00564,3,Gold
C00565,4,Bronze
C00566,6,Gold
C00567,4,Silver
C00568,2,Silver
C00569,7,Bronze
C00570,7,Bronze
C00571,10,Silver
C00572,10,Bronze
C00573,5,Bronze
C00574,5,Silver
C00575,3,Bronze
C00576,3,Silver
C00577,2,Bronze
C00578,5,Silver
C00579,8,Silver
C00580,4,Silver
C00581,7,Silver
C00582,4,Bronze
C00583,4,Bronze
C00584,6,Gold
C00585,5,Bronze
C00586,4,Silver
C00587,4,Silver
C00588,5,Bronze
C00589,4,Bronze
C00590,5,Bronze
C00591,2,Silver
C00592,4,Gold
C00593,3,Bronze
C00594,6,Bronze
C00595,3,Bronze
