store_id,store_name,country,total_sales,total_quantity,total_profit,transaction_count
S0001,Venus Boutique #1,MX,867.09,189,14.0268,42
S0002,Apollo Shop #2,SG,1314.04,285,20.5188,62
S0003,Sweet Spot #3,FR,887.99,195,16.2636,49
S0004,Sweet Spot #4,PL,1100.72,242,19.2328,55
S0005,Apollo Shop #5,CA,863.72,202,15.3191,46
S0006,Eros Corner #6,DE,845.2,209,14.8877,44
S0007,Venus Boutique #7,IN,1061.79,224,17.8481,54
S0008,Sweet Spot #8,FR,949.75,259,17.9004,54
S0009,Cupid Outlet #9,FR,1159.76,230,18.82,53
S0010,Venus Boutique #10,JP,764.63,182,15.4383,45
S0011,Apollo Shop #11,BR,948.13,217,16.5992,49
S0012,Sweet Spot #12,IT,1063.08,238,16.4043,49
S0013,Cupid Outlet #13,SE,1045.07,250,17.992,53
S0014,Eros Corner #14,US,666.59,152,10.9953,33
S0015,ChocoHub #15,NO,872.11,218,16.570899999999998,50
S0016,Venus Boutique #16,US,877.08,212,14.4216,44
S0017,ChocoHub #17,IT,1043.71,250,18.871,55
S0018,Apollo Shop #18,ES,935.41,217,16.8569,49
S0019,Apollo Shop #19,GB,1244.36,263,19.6174,57
S0020,Apollo Shop #20,SG,946.45,206,16.3852,48
S0021,Sweet Spot #21,NL,728.84,185,13.8747,40
S0022,Venus Boutique #22,FR,872.76,191,13.9366,41
S0023,Venus Boutique #23,US,659.34,155,12.9543,39
S0024,Apollo Shop #24,MX,946.28,235,19.2179,55
S0025,Cupid Outlet #25,IN,637.87,160,13.5322,39
S0026,Venus Boutique #26,CA,864.89,207,16.9526,50
S0027,Venus Boutique #27,FR,734.2,161,13.657399999999999,42
S0028,Eros Corner #28,CA,766.95,171,15.0369,44
S0029,Eros Corner #29,JP,980.37,228,16.8993,49
S0030,Sweet Spot #30,SG,892.18,207,15.3508,45
S0031,Cupid Outlet #31,SE,1305.82,285,20.2499,61
S0032,Venus Boutique #32,FR,865.0,225,17.7835,53
S0033,Sweet Spot #33,SE,1157.74,238,17.2646,50
S0034,Apollo Shop #34,BR,801.96,182,16.5533,46
S0035,Cupid Outlet #35,SE,1013.47,245,18.1427,54
S0036,Cupid Outlet #36,IT,763.4,190,15.5322,46
S0037,Cupid Outlet #37,CA,1068.03,233,17.7446,54
S0038,Venus Boutique #38,ZA,922.8199999999999,215,16.8475,48
S0039,Sweet Spot #39,DK,959.1899999999999,233,18.6315,54
S0040,Apollo Shop #40,IN,1093.23,236,17.2809,49
S0041,Apollo Shop #41,NL,750.15,176,14.056799999999999,40
S0042,Eros Corner #42,AU,1137.69,263,22.1219,63
S0043,Apollo Shop #43,PL,1001.86,236,17.163899999999998,51
S0044,Sweet Spot #44,JP,1346.21,315,21.1294,63
S0045,Apollo Shop #45,BR,1037.67,231,18.1813,56
S0046,Sweet Spot #46,ZA,1010.57,253,20.5974,60
S0047,ChocoHub #47,DE,752.42,183,12.7385,36
S0048,Apollo Shop #48,PL,957.51,216,16.7381,50
S0049,ChocoHub #49,AU,1083.47,224,18.3376,54
S0050,Cupid Outlet #50,ZA,681.26,179,13.2049,39
S0051,Apollo Shop #51,FR,934.6,223,16.1355,47
S0052,ChocoHub #52,PL,705.4,169,13.2631,41
S0053,Venus Boutique #53,SG,1069.66,246,17.7389,56
S0054,Apollo Shop #54,JP,1071.67,249,18.9028,55
S0055,ChocoHub #55,CN,901.83,208,18.1244,53
S0056,Cupid Outlet #56,ZA,1255.52,284,18.5103,55
S0057,ChocoHub #57,ES,832.84,204,16.5867,50
S0058,ChocoHub #58,SG,1038.41,231,18.5819,55
S0059,Venus Boutique #59,SE,1111.31,246,18.739,58
S0060,Apollo Shop #60,SG,940.57,243,16.4578,48
S0061,Sweet Spot #61,US,1347.38,323,19.9575,61
S0062,ChocoHub #62,CA,962.94,224,14.1495,43
S0063,Eros Corner #63,DK,734.3199999999999,179,14.154399999999999,44
S0064,ChocoHub #64,DE,905.87,207,14.4918,43
S0065,Eros Corner #65,SE,916.89,235,17.7327,53
S0066,Apollo Shop #66,US,860.26,210,15.6668,45
