order_id,product_id,vendor_lead_time_days,stock_level,order_quantity,delay_reason,region,cost_per_unit,sustainability_score,risk_level,alert_status
ORD00001,PROD031,5,116,200,None,Europe,28.3,0.93,3,🟢 OK
ORD00002,PROD013,5,212,100,Transport Strike,Latin America,17.46,0.72,4,🟢 OK
ORD00003,PROD032,10,470,185,Weather,Asia Pacific,24.66,0.96,4,🟢 OK
ORD00004,PROD006,12,110,200,Customs,Latin America,29.91,0.97,8,🔴 Critical
ORD00005,PROD066,6,265,150,None,Europe,8.76,0.89,0,🟢 OK
ORD00006,PROD051,14,486,73,None,North America,13.71,0.96,1,🟢 OK
ORD00007,PROD005,4,176,91,Customs,North America,45.23,0.95,4,🟢 OK
ORD00008,PROD042,11,230,66,None,Latin America,9.36,0.84,1,🟢 OK
ORD00009,PROD001,13,318,147,Supplier Issue,Latin America,40.02,0.68,5,🟡 Warning
ORD00010,PROD029,14,358,193,Transport Strike,Latin America,31.48,0.99,5,🟡 Warning
ORD00011,PROD005,10,393,111,Weather,Asia Pacific,18.22,0.74,4,🟢 OK
ORD00012,PROD024,3,346,64,Supplier Issue,Europe,20.41,0.97,4,🟢 OK
ORD00013,PROD033,12,313,115,None,Europe,9.16,0.68,1,🟢 OK
ORD00014,PROD020,21,196,155,None,Latin America,29.31,0.94,2,🟢 OK
ORD00015,PROD052,12,118,140,None,Latin America,8.29,0.59,4,🟢 OK
ORD00016,PROD063,13,269,159,None,Asia Pacific,35.1,0.52,1,🟢 OK
ORD00017,PROD049,3,51,153,Transport Strike,North America,35.1,0.87,8,🔴 Critical
ORD00018,PROD019,9,408,99,Weather,North America,46.07,0.83,4,🟢 OK
ORD00019,PROD002,11,327,105,None,Europe,38.42,0.99,1,🟢 OK
ORD00020,PROD004,19,92,122,None,Asia Pacific,35.51,0.9,6,🟡 Warning
ORD00021,PROD007,7,481,138,None,North America,24.87,0.93,0,🟢 OK
ORD00022,PROD004,11,403,51,None,North America,25.76,0.71,1,🟢 OK
ORD00023,PROD012,14,329,145,None,Asia Pacific,35.16,0.99,1,🟢 OK
ORD00024,PROD028,10,31,32,Weather,Asia Pacific,19.12,0.62,10,🔴 Critical
ORD00025,PROD050,5,62,171,Weather,Europe,29.91,0.67,8,🔴 Critical
ORD00026,PROD050,7,475,169,None,Latin America,41.27,0.61,0,🟢 OK
ORD00027,PROD054,9,108,65,None,North America,30.6,0.75,0,🟢 OK
ORD00028,PROD048,17,468,106,Transport Strike,North America,10.45,0.5,6,🟡 Warning
ORD00029,PROD045,14,241,107,Customs,Latin America,36.87,0.58,5,🟡 Warning
ORD00030,PROD058,11,22,22,Customs,Asia Pacific,34.6,0.8,8,🔴 Critical
ORD00031,PROD013,17,71,68,Transport Strike,North America,38.14,0.82,7,🟡 Warning
ORD00032,PROD023,18,265,195,None,Europe,14.33,0.51,2,🟢 OK
ORD00033,PROD061,5,492,97,None,Asia Pacific,39.24,0.64,0,🟢 OK
ORD00034,PROD039,17,394,81,Supplier Issue,Asia Pacific,15.69,0.79,6,🟡 Warning
ORD00035,PROD053,17,479,153,Weather,Latin America,39.23,0.59,6,🟡 Warning
ORD00036,PROD014,12,169,15,None,Europe,30.63,0.73,1,🟢 OK
ORD00037,PROD061,14,474,28,Weather,Asia Pacific,49.4,0.64,5,🟡 Warning
ORD00038,PROD027,6,401,38,Supplier Issue,North America,38.24,0.65,4,🟢 OK
